Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1616,Learn microsoft visual J++ 6.0 now,"Ingalls, & Daniel J",Computer Science,N/A,N/A
1617,E-commerce strategies,"Trepper, Charles",Computer Science,N/A,N/A
1618,MCSE readiness review: exam 70-068 windows NT 4.0 ,Microsoft,Computer Science,N/A,N/A
1619,Understanding electronic commerce,"Kosiur, David",Computer Science,N/A,N/A
162,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1620,Microsoft TCP / IP windows 2000,"Powell, Keith A",Computer Science,N/A,N/A
1621,VB Script interactive course,"Jerke, N; Hatmaker & Anderson,",Computer Science,N/A,N/A
1622,HTML complete,Sybex,Computer Science,N/A,N/A
1623,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1624,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1625,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1626,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1627,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1628,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1629,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
163,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1630,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1631,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1632,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1633,First year workshop practice-cum-diary,"Trymbaka murthy, S",Mechanical,N/A,N/A
1634,The essential photoshop 5 book,"Mullin, Eileen",Computer Science,N/A,N/A
1635,Adobe photoshop-5 How-to,"Lynch, Richard",Computer Science,N/A,N/A
1636,Microelectronics,"Millman, J & Grabel, A",Electronics,N/A,N/A
1637,Microelectronics,"Millman, J & Grabel, A",Electronics,N/A,N/A
1638,Microelectronics,"Millman, J & Grabel, A",Electronics,N/A,N/A
1639,Microelectronics,"Millman, J & Grabel, A",Electronics,N/A,N/A
164,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1640,Microelectronics,"Millman, J & Grabel, A",Electronics,N/A,N/A
