Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
13517,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13518,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13519,Text Book of Elements of Civil Engineering and Eng,"Bhavikatti, S S",Civil,N/A,N/A
1352,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13520,Text Book of Elements of Civil Engineering and Eng,"Bhavikatti, S S",Civil,N/A,N/A
13521,Text Book of Elements of Civil Engineering and Eng,"Bhavikatti, S S",Civil,N/A,N/A
13522,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13523,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13524,Introduction to the Constitution of India,"Sharma, Brij Kishore",General,N/A,N/A
13525,Introduction to the Constitution of India,"Sharma, Brij Kishore",General,N/A,N/A
13526,Introduction to the Constitution of India,"Sharma, Brij Kishore",General,N/A,N/A
13527,Introduction to the Constitution of India,"Sharma, Brij Kishore",General,N/A,N/A
13528,Introduction to the Constitution of India,"Sharma, Brij Kishore",General,N/A,N/A
13529,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
1353,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13530,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
13531,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
13532,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
13533,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
13534,Text Book of Mechanical Engineering,"Murthy, Trymbaka S",Mechanical,N/A,N/A
13535,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13536,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13537,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13538,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13539,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
1354,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13540,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13541,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13542,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13543,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13544,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13545,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13546,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13547,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13548,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13549,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
1355,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13550,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13551,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13552,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13553,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13554,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13555,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13556,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13557,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13558,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13559,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
1356,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13560,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13561,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13562,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13563,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13564,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13565,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13566,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13567,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13568,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13569,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
1357,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13570,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13571,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13572,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13573,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13574,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13575,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13576,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13577,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13578,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13579,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
1358,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13580,Computer Science,"Forouzan, Behrouz A & Gilberg,",Computer Science,N/A,N/A
13581,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13582,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13583,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13584,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13585,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13586,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13587,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13588,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13589,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
1359,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13590,Engineering Mathematics - I,Chandrasekharaiah D S,Mathematics,N/A,N/A
13591,Advanced Mechanics of Solids,Srinath L S,Mechanical,N/A,N/A
13592,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13593,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13594,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13595,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13596,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13597,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13598,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13599,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
136,Engineering Mathematics - II,Chandrasekharaiah D S,Mathematics,N/A,N/A
1360,Signals and systems,"Haykin, Simon & Veen, B.V.",Electronics,N/A,N/A
13600,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13601,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13602,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13603,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13604,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13605,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13606,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13607,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13608,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13609,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
1361,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13610,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13611,Text book  of engineering physics,Basavaraju S P,Physics,N/A,N/A
13612,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13613,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13614,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13615,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13616,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13617,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13618,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13619,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
1362,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13620,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13621,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13622,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13623,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13624,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13625,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13626,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13627,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13628,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13629,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
1363,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13630,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13631,Engineering Drawing Vol. 1 & 2,"Gopalakrishna, K R",Mechanical,N/A,N/A
13632,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13633,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13634,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13635,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13636,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13637,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13638,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13639,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
1364,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13640,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13641,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13642,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13643,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13644,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13645,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13646,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13647,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13648,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13649,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
1365,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13650,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13651,Chemistry for Engineering Students,"Jaiprakash, B S and Others",Chemistry,N/A,N/A
13652,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13653,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13654,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13655,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13656,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13657,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13658,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13659,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
1366,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13660,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13661,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13662,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13663,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13664,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13665,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13666,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13667,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13668,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13669,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
1367,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13670,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13671,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13672,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13673,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13674,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13675,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13676,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13677,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13678,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13679,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
1368,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Physics,N/A,N/A
13680,Computer Concepts and C Programming,"Gupta, Vikas",Information Science,N/A,N/A
13681,Signals and Systems,Rao Ganesh D and Tunga Satish,Electronics,N/A,N/A
13682,Op-Amps and linear integrated circuits,"Gayakwad, Ramakant A",Electrical,N/A,N/A
13683,Algorithms for VLSI Physical Design Automation,"Sherwari, naveed",Electrical,N/A,N/A
13684,Algorithms for VLSI Physical Design Automation,"Sherwari, naveed",Electrical,N/A,N/A
13685,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13686,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13687,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13688,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13689,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1369,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13690,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13691,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13692,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13693,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13694,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13695,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13696,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13697,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13698,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13699,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
137,Engineering Mathematics - II,Chandrasekharaiah D S,Mathematics,N/A,N/A
1370,Semiconductor optoelectronic devices,"Bhattacharya, Pallab",Electronics,N/A,N/A
13700,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13701,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13702,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13703,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13704,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13705,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13706,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13707,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13708,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13709,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1371,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13710,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13711,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13712,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13713,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13714,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13715,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13716,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13717,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13718,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13719,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
1372,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13720,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13721,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13722,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13723,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13724,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13725,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13726,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13727,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13728,Electronic Devices and Circuits,"Bell, David A",Electronics,N/A,N/A
13729,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1373,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13730,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13731,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13732,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13733,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13734,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13735,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13736,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13737,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13738,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13739,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1374,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13740,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13741,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13742,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13743,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13744,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13745,Environmental Studies,Joseph Benny,Biotechnology,N/A,N/A
13746,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13747,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13748,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13749,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1375,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13750,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13751,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13752,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13753,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13754,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13755,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13756,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13757,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13758,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13759,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
1376,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13760,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13761,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13762,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13763,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13764,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13765,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13766,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13767,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13768,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13769,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1377,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13770,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13771,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13772,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13773,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13774,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13775,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13776,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13777,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13778,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13779,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1378,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13780,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13781,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13782,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13783,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13784,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13785,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13786,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13787,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13788,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13789,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
1379,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13790,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13791,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13792,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13793,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13794,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13795,Computer Concepts and C Programming,"Gupta, Vikas",Computer Science,N/A,N/A
13796,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13797,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13798,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13799,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
138,Engineering Mathematics - II,Chandrasekharaiah D S,Mathematics,N/A,N/A
1380,Microwave devices and circuits,"Liao, Samuel Y",Electronics,N/A,N/A
13800,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13801,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13802,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13803,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13804,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13805,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13806,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13807,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13808,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13809,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
1381,Network analysis and synthesis,"Kuo, Franklin F",Electronics,N/A,N/A
13810,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13811,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13812,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13813,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13814,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13815,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13816,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13817,Text Book of Basic Electrical Engineering,"Rao, M V",Electrical,N/A,N/A
13818,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13819,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
1382,Network analysis and synthesis,"Kuo, Franklin F",Electronics,N/A,N/A
13820,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13821,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13822,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13823,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13824,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13825,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
13826,Engineering Mathematics - I,Chandrashekar K S,Mathematics,N/A,N/A
